LAMMPS data file via write_data, version 27 Oct 2021, timestep = 400000

1038 atoms
6 atom types

-0.17029157364761716 22.170291573645653 xlo xhi
-0.17029157364761716 22.170291573645653 ylo yhi
-0.17029157364761716 22.170291573645653 zlo zhi

0.0 0.0 0.0 xy xz yz

Masses

1 1.00794
2 15.9994
3 26.981538
4 28.0855
5 39.0983
6 40.078

Atoms # charge

916 1 0.38337125375333025 5.9632833235488825 0.3780602683769288 8.467719006821136 -443 221 17
687 2 -0.7952627631145281 1.8926749802149436 10.990031400183963 4.447250293978412 -443 221 17
887 1 0.3817733959037538 10.795902431065368 8.158980797718398 1.4492181512889217 -443 221 17
869 3 1.4553327606210833 8.64737016568278 0.049199453458568645 2.8531820861387596 -443 221 17
58 5 0.705638152914468 3.760331141364996 9.848437060251053 1.0689296709121152 -443 221 17
602 1 0.391354509281685 2.744847766229372 0.23593088662725006 10.849422473920702 -443 221 16
301 2 -0.872558833946467 7.841975335114529 0.16670754485718112 10.981226787879681 -443 221 16
852 1 0.41494826020919273 1.1311220044142836 0.8692435031780353 4.445080775602627 -443 221 17
228 2 -0.8323025973447257 9.238995494484072 -0.16597057184052844 8.49912040516619 -443 221 17
399 2 -0.8583476075623472 1.0374916133830139 5.065810610176554 4.565103112061282 -443 221 17
163 4 1.471729729247286 4.761980824003651 8.73858014395207 6.735300639596874 -443 221 17
756 1 0.38028515092338283 10.831978376737396 10.847402872069399 4.43964434352895 -443 221 17
381 2 -0.8222777118379568 4.028724382594946 -0.1323337636331985 4.440995805616736 -443 221 17
377 1 0.4255236419780362 6.046587007253618 2.6598414127508128 7.596926891692446 -443 221 17
232 1 0.3998545021961297 8.806935597449083 0.029216148841389948 9.383907537194307 -443 221 17
603 1 0.39494174446717567 5.231410210593808 0.7142351687906905 10.246286250098764 -443 221 16
385 1 0.41080994117308356 4.193918054622308 0.688037200313001 4.970674613248079 -443 221 17
38 2 -0.750353502427474 6.379089497346656 10.602386573750692 9.912165784627893 -443 221 16
99 1 0.39460920468601074 9.903113627481245 6.015652160449537 5.994142998667649 -443 221 17
875 1 0.3863025035261875 6.132272679557088 -0.02700220519008667 3.630572216835252 -443 221 17
117 1 0.39572501874754573 1.5845781533315069 8.182152549243208 9.938158049724612 -443 221 16
858 2 -0.7182317082977707 -0.16265381514977406 9.127324874314262 4.956775567815287 -443 221 17
596 2 -0.8741151456433073 3.1294211978507067 2.7601513415734535 10.377375650538532 -443 221 16
855 3 1.3679564048759507 0.3629851486954956 5.820400553778274 8.090127356305985 -443 221 17
179 1 0.4088162513615343 9.269934038529547 8.438111690339253 3.4589261167360794 -443 221 17
965 1 0.3628108764723546 0.8317829398244146 3.102694361359735 7.7366712580020565 -443 221 17
97 5 0.6896064567081348 3.8845898314664122 5.788081340800402 9.453338519442028 -443 221 17
334 4 1.5009552430478978 0.7703527130191284 10.47212804005374 8.424875125450008 -443 221 17
439 1 0.4251083274421099 1.5258773805506962 6.820146811473172 4.1643406010210295 -443 221 17
948 2 -0.7298755650934515 1.1961314793483633 -0.08470647151087363 4.659816698362573 -443 221 17
398 2 -0.8169071182209738 1.1309735170829152 2.6623742930543686 4.032744258006491 -443 221 17
342 1 0.4192008689712701 0.12222835543265731 9.989782930337618 6.3967692871157595 -443 221 17
966 1 0.3913945253751107 0.9493733872299333 1.1911122482677896 7.125054461290579 -443 221 17
338 2 -0.8521229505018488 0.4423322473739312 10.790363163129898 6.934294139569123 -443 221 17
59 2 -0.714541559652897 1.815920034409913 7.704706706634843 3.865092853148776 -443 221 17
860 1 0.38324810783495117 2.617639000275977 7.173533685293134 7.42226161439177 -443 221 17
39 1 0.43992542536427315 7.010637553278989 10.809383867980554 10.624005269001797 -443 221 16
487 4 1.4582133375727997 7.8286058078830685 6.57453885348052 9.948714558962438 -443 221 16
403 1 0.36282193754534575 1.8431231935226 4.711601824558833 5.038690450178122 -443 221 17
723 2 -0.8447937215211627 3.4154350457654714 4.621023224059642 5.943322264712225 -443 221 17
197 1 0.42558339422393376 9.963484640492807 4.603297740562516 3.984213450948606 -443 221 17
729 1 0.3851668324931033 1.7585961610923804 2.555712300419977 5.47099828551176 -443 221 17
175 2 -0.8047362731915955 10.171857152952269 8.071766816903988 3.7936676136541694 -443 221 17
30 1 0.3416989835326769 4.01191730645998 7.644341211274369 2.7862519364255385 -443 221 17
168 1 0.43263769036338495 4.51721756945209 10.772009227074081 5.899202550797389 -443 221 17
371 2 -0.8471127569411309 7.795443661413426 4.366110650246045 6.957957910537663 -443 221 17
962 2 -0.8759857805270396 0.29244950969055594 3.889306913949166 8.208607343800102 -443 221 17
375 1 0.41468723724781664 8.70894883963237 4.842460971753188 6.941374558255379 -443 221 17
85 5 0.6924806102334543 4.455909582459309 8.759490404480188 10.907720211086456 -443 221 16
490 2 -0.8180431622282435 8.87246524311405 7.2248836864479875 8.987998272105381 -443 221 16
164 2 -0.8238372149120732 5.054570862053844 10.261198386922228 6.549103790857892 -443 221 17
491 2 -0.9097847653844191 6.4076187841662495 7.111005329602809 9.635305274132433 -443 221 16
172 4 1.3328080740285302 10.496000267652434 6.609131594382528 3.3478618607488326 -443 221 17
239 2 -0.9072914158929863 10.320216805160015 10.166629883860336 7.507767013589001 -443 221 17
98 2 -0.7270596583587203 10.013843113712634 5.816083489224392 6.949381535257782 -443 221 17
769 1 0.39291430972766894 7.857495715430002 9.641191361906442 4.170361260658224 -443 221 17
397 4 1.5286667116466153 0.2723475583711803 3.905758832646694 3.863913521624745 -443 221 17
