#	LAMMPS	data	file	written	by	OVITO	Basic	3.6.0
1145	atoms							
6	atom	types						
0.0	22.0	xlo	xhi					
0.0	22.0	ylo	yhi					
0.0	22.0	zlo	zhi					
								
Masses								
								
1	1.0079400	#	H					
2	15.9994000	#	O					
3	26.9815380	#	Al					
4	28.0855000	#	Si					
5	39.0983000	#	K					
6	40.0780000	#	Ca					
								
Atoms	#	charge						
								
1	5	0	-0.001	16.319	14.097			
2	2	0	2.06	17.367	14.626			
3	1	0	2.281	17.028	15.528			
4	5	0	11.144	11.334	3.411			
5	2	0	8.931	11.409	4.262			
6	1	0	8.378	11.661	3.482			
7	5	0	10.272	8.142	7.83			
8	2	0	9.418	7.546	9.96			
9	1	0	8.444	7.704	9.886			
10	5	0	10.726	2.386	9.51			
11	2	0	9.216	0.678	8.859			
12	1	0	9.5	0.438	7.942			
13	5	0	14.35	7.207	17.423			
14	2	0	14.837	6.655	15.168			
15	1	0	15.65	7.179	14.959			
16	5	0	11.265	9.409	21.01			
17	2	0	13.612	9.243	20.717			
18	1	0	13.784	8.27	20.665			
19	5	0	2.066	9.848	18.453			
20	2	0	2.011	12.104	17.726			
21	1	0	2.547	12.591	18.399			
22	5	0	2.931	21.865	14.985			
23	2	0	0.562	21.961	15.048			
24	1	0	0.271	21.174	14.526			
25	5	0	18.365	3.458	3.25			
26	2	0	16.043	2.984	3.324			
27	1	0	15.665	3.703	3.888			
28	5	0	21.726	15.613	14.006			
29	2	0	20.131	14.067	14.837			
30	1	0	19.852	13.553	14.04			
31	5	0	6.5	7.606	3.75			
32	2	0	7.583	6.01	2.37			
33	1	0	6.896	5.756	1.705			
34	5	0	12.533	10.432	13.185			
35	2	0	11.14	8.884	14.32			
36	1	0	11.647	8.035	14.296			
37	5	0	1.649	14.239	7.061			
38	2	0	0.554	16.301	6.643			
39	1	0	0	16.126	5.843			
40	5	0	17.666	8.132	7.941			
41	2	0	15.948	9.723	8.314			
42	1	0	16.181	10.135	9.182			
43	5	0	12.66	18.273	9.78			
44	2	0	13.622	16.194	10.392			
45	1	0	13.738	16.258	11.372			
46	5	0	10.226	10.86	16.901			
47	2	0	10.501	12.685	18.39			
48	1	0	9.684	13.227	18.265			
49	5	0	15.861	10.636	17.754			
50	2	0	14.157	11.146	16.186			
51	1	0	14.178	10.39	15.548			
52	5	0	19.027	19.873	15.598			
53	2	0	17.588	18.075	15.031			
54	1	0	17.802	17.881	14.085			
55	5	0	13.853	7.188	7.418			
56	2	0	14.2	4.842	7.401			
57	1	0	13.941	4.55	8.309			
58	5	0	-0.001	11.615	22.004			
59	2	0	1.044	12.052	19.921			
