#	LAMMPS	data	file	written	by	OVITO	Basic	3.6.0
1053	atoms							
6	atom	types						
0.0	22.0	xlo	xhi					
0.0	22.0	ylo	yhi					
0.0	22.0	zlo	zhi					
								
Masses								
								
1	1.00794	#	H					
2	15.9994	#	O					
3	26.981538	#	Al					
4	28.0855	#	Si					
5	39.0983	#	K					
6	40.078	#	Ca					
								
Atoms	#	charge						
								
1	5	0	5.485	11.801	12.786			
2	2	0	5.176	12.804	10.66			
3	1	0	5.524	12.134	10.021			
4	5	0	19.219	7.314	4.926			
5	2	0	17.18	8.386	4.363			
6	1	0	16.977	8.061	3.451			
7	5	0	8.132	11.489	21.953			
8	2	0	10.297	10.522	22.006			
9	1	0	10.13	9.547	21.975			
10	5	0	13.947	0.002	17.009			
11	2	0	14.9	0.208	19.17			
12	1	0	14.33	0.876	19.626			
13	5	0	13.255	8.791	2.543			
14	2	0	13.311	7.231	0.758			
15	1	0	14.088	7.511	0.214			
16	5	0	14.084	18.678	-0.006			
17	2	0	13.565	20.165	1.767			
18	1	0	12.808	19.734	2.234			
19	5	0	21.384	8.78	11.708			
20	2	0	20.581	6.642	12.344			
21	1	0	20.239	6.773	13.263			
22	5	0	8.482	17.011	0.004			
23	2	0	10.137	15.313	0.001			
24	1	0	9.903	14.743	0.774			
25	5	0	3.233	20.347	4.436			
26	2	0	2.923	21.532	6.467			
27	1	0	2.083	21.167	6.837			
28	5	0	2.704	12.909	3.232			
29	2	0	2.962	14.918	1.998			
30	1	0	2.092	15.04	1.545			
31	5	0	16.904	15.538	15.832			
32	2	0	17.531	17.336	17.246			
33	1	0	18.42	17.075	17.593			
34	5	0	14.942	21.904	2.842			
35	2	0	16.314	20.228	3.808			
36	1	0	15.811	19.389	3.668			
37	5	0	7.18	1.013	7.693			
38	2	0	5.855	1.998	5.992			
39	1	0	6.073	1.478	5.179			
40	5	0	6.965	13.376	6.543			
41	2	0	6.204	15.048	5.044			
42	1	0	5.933	15.797	5.63			
43	5	0	6.254	8.329	15.226			
44	2	0	4.341	9.73	15.199			
45	1	0	4.685	10.609	14.902			
46	5	0	0.259	4.71	5.691			
47	2	0	1.55	4.988	3.722			
48	1	0	1.248	5.853	3.351			
49	5	0	9.972	7.504	5.831			
50	2	0	8.535	9.385	5.968			
51	1	0	8.186	9.494	5.049			
52	5	0	17.656	21.148	2.327			
53	2	0	19.973	21.201	1.826			
54	1	0	20.06	21.917	1.15			
55	5	0	5.227	21.153	14.968			
56	2	0	4.505	18.896	14.865			
57	1	0	3.556	18.93	15.142			
58	5	0	8.955	5.398	5.483			
59	2	0	11.189	5.932	4.892			
