#	LAMMPS	data	file	written	by	OVITO	Basic	3.6.0
1098	atoms							
6	atom	types						
0.0	22.0	xlo	xhi					
0.0	22.0	ylo	yhi					
0.0	22.0	zlo	zhi					
								
Masses								
								
1	1.0079	#	H					
2	15.9994	#	O					
3	26.9815	#	Al					
4	28.0855	#	Si					
5	39.0983	#	K					
6	40.0780	#	Ca					
								
Atoms	#	charge						
								
158	2	0	3.573	11.956	18.748			
159	1	0	2.938	13.159	21.420			
160	1	0	5.811	13.413	19.273			
161	1	0	5.458	10.524	21.331			
162	1	0	3.207	11.079	18.561			
163	4	0	4.172	15.138	1.218			
164	2	0	5.004	15.889	2.398			
165	2	0	2.751	14.612	1.810			
166	2	0	3.909	16.180	-0.006			
167	2	0	5.024	13.867	0.665			
168	1	0	4.999	15.406	3.237			
169	1	0	2.380	13.869	1.312			
170	1	0	3.616	17.054	0.292			
171	1	0	5.695	14.113	0.011			
172	4	0	1.613	2.349	3.022			
173	2	0	3.082	2.998	2.760			
174	2	0	1.615	1.569	4.450			
175	2	0	0.495	3.533	3.040			
176	2	0	1.257	1.293	1.836			
177	1	0	3.810	2.392	2.959			
178	1	0	0.942	0.876	4.507			
179	1	0	0.764	4.306	3.556			
180	1	0	0.907	1.718	1.040			
181	4	0	5.733	21.108	7.931			
182	2	0	4.818	21.790	6.771			
183	2	0	7.133	21.925	8.065			
184	2	0	4.930	21.149	9.347			
185	2	0	6.053	19.560	7.541			
186	1	0	5.314	22.001	5.967			
187	1	0	7.851	21.395	8.440			
188	1	0	4.510	22.004	9.524			
189	1	0	5.335	18.953	7.775			
190	4	0	13.201	5.580	20.166			
191	2	0	13.046	6.506	21.495			
192	2	0	11.969	5.884	19.148			
193	2	0	14.618	5.915	19.436			
194	2	0	13.173	4.007	20.584			
195	1	0	12.144	6.524	21.846			
196	1	0	11.783	5.152	18.543			
197	1	0	14.798	6.864	19.370			
198	1	0	14.031	3.679	20.891			
199	4	0	9.003	2.924	16.607			
200	2	0	9.313	1.341	16.824			
201	2	0	10.394	3.763	16.695			
202	2	0	8.315	3.145	15.148			
203	2	0	7.987	3.451	17.764			
204	1	0	9.917	1.166	17.560			
205	1	0	10.266	4.691	16.942			
206	1	0	8.754	2.652	14.439			
207	1	0	7.057	3.261	17.570			
208	4	0	20.711	19.839	11.260			
209	2	0	21.077	20.093	9.695			
210	2	0	21.885	20.466	12.197			
211	2	0	19.289	20.552	11.605			
212	2	0	20.594	18.242	11.547			
213	1	0	22.000	19.895	9.480			
214	1	0	21.937	20.053	13.071			
215	1	0	19.212	21.448	11.245			
216	1	0	19.731	17.874	11.305			
217	4	0	4.205	8.880	14.244			
218	2	0	3.088	8.150	15.176			
219	2	0	5.063	7.752	13.446			
220	2	0	3.462	9.865	13.181			
221	2	0	5.211	9.758	15.175			
222	1	0	3.436	7.393	15.669			
223	1	0	5.942	8.058	13.179			
224	1	0	2.692	9.459	12.758			
225	1	0	4.856	10.630	15.402			
226	4	0	19.956	3.700	1.550			
227	2	0	18.530	3.859	0.782			
228	2	0	20.389	5.133	2.186			
229	2	0	19.813	2.590	2.733			
230	2	0	21.098	3.216	0.496			
231	1	0	18.480	4.650	0.226			
232	1	0	21.344	5.218	2.324			
233	1	0	19.006	2.694	3.259			
234	1	0	21.095	2.259	0.344			
235	4	0	3.089	16.602	20.700			
236	2	0	1.851	16.946	19.700			
237	2	0	3.409	17.899	21.629			
238	2	0	2.689	15.334	21.639			
239	2	0	4.413	16.228	19.829			
240	1	0	1.929	17.814	19.279			
241	1	0	4.317	17.914	21.964			
242	1	0	1.795	15.396	22.005			
243	1	0	4.423	15.307	19.529			
244	4	0	3.105	18.059	16.888			
245	2	0	4.326	17.242	16.187			
246	2	0	1.890	17.030	17.224			
247	2	0	3.638	18.753	18.261			
248	2	0	2.563	19.215	15.879			
249	1	0	4.030	16.628	15.498			
250	1	0	1.028	17.465	17.290			
251	1	0	4.179	18.161	18.804			
252	1	0	3.096	20.023	15.905			
253	4	0	4.841	13.080	13.964			
254	2	0	6.225	12.521	14.613			
255	2	0	3.719	11.901	13.989			
256	2	0	4.318	14.360	14.825			
257	2	0	5.100	13.539	12.424			
258	1	0	6.468	11.639	14.297			
259	1	0	3.029	12.017	13.321			
260	1	0	4.365	14.222	15.782			
261	1	0	5.473	14.430	12.350			
262	4	0	10.521	15.989	9.574			
263	2	0	10.518	15.061	8.237			
264	2	0	9.137	15.752	10.398			
265	2	0	11.795	15.589	10.506			
266	2	0	10.633	17.558	9.157			
267	1	0	9.678	15.086	7.755			
268	1	0	8.901	16.497	10.969			
269	1	0	11.916	14.633	10.598			
270	1	0	11.542	17.841	8.980			
271	4	0	7.797	12.790	2.496			
272	2	0	8.784	13.934	1.890			
273	2	0	8.623	11.872	3.557			
274	2	0	6.538	13.502	3.243			
275	2	0	7.243	11.846	1.291			
276	1	0	9.654	13.594	1.635			
277	1	0	8.245	10.988	3.672			
278	1	0	6.799	14.244	3.809			
279	1	0	6.484	12.229	0.827			
280	4	0	5.660	0.954	15.424			
281	2	0	5.836	2.510	15.871			
282	2	0	6.234	0.758	13.914			
283	2	0	6.480	-0.001	16.456			
284	2	0	4.084	0.548	15.453			
285	1	0	5.569	3.138	15.185			
286	1	0	5.847	-0.001	13.454			
287	1	0	7.366	0.330	16.661			
288	1	0	3.768	0.311	16.338			
289	4	0	16.325	3.404	12.651			
290	2	0	16.076	4.565	13.764			
291	2	0	16.707	2.011	13.401			
292	2	0	14.973	3.203	11.766			
293	2	0	17.550	3.835	11.669			
294	1	0	16.748	4.579	14.460			
295	1	0	17.212	1.402	12.842			
296	1	0	14.167	3.174	12.301			
297	1	0	17.275	4.432	10.958			
298	4	0	12.631	9.765	1.468			
299	2	0	12.600	10.864	2.669			
300	2	0	14.155	9.612	0.917			
301	2	0	12.100	8.333	2.031			
302	2	0	11.669	10.253	0.250			
303	1	0	13.107	11.664	2.469			
304	1	0	14.201	9.284	0.007			
305	1	0	12.476	8.097	2.892			
306	1	0	10.735	10.041	0.394			
307	4	0	21.026	1.044	7.248			
308	2	0	21.422	2.527	7.790			
309	2	0	22.004	0.643	6.010			
310	2	0	21.192	-0.035	8.456			
311	2	0	19.482	1.039	6.733			
312	1	0	21.562	3.170	7.079			
313	1	0	21.618	-0.018	5.417			
314	1	0	22.012	0.077	8.958			
315	1	0	18.842	0.928	7.451			
316	4	0	20.531	16.810	19.492			
317	2	0	21.261	15.645	18.621			
318	2	0	18.943	16.832	19.139			
319	2	0	20.741	16.509	21.079			
320	2	0	21.179	18.258	19.130			
