#	LAMMPS	data	file	written	by	OVITO	Basic	3.6.0
1038	atoms							
6	atom	types						
0.0	22.0	xlo	xhi					
0.0	22.0	ylo	yhi					
0.0	22.0	zlo	zhi					
								
Masses								
								
1	1.0079400	#	H					
2	15.9994000	#	O					
3	26.9815380	#	Al					
4	28.0855000	#	Si					
5	39.0983000	#	K					
6	40.0780000	#	Ca					
								
Atoms	#	charge						
								
1	5	0	17.957	14.313	2.412			
2	2	0	18.932	14.956	4.476			
3	1	0	19.813	14.508	4.479			
4	5	0	17.818	3.098	16.574			
5	2	0	20.062	3.067	17.339			
6	1	0	20.055	2.426	18.092			
7	5	0	19.804	15.01	11.335			
8	2	0	19.621	16.55	9.541			
9	1	0	19.444	15.983	8.75			
10	5	0	18.476	9.666	18.777			
11	2	0	19.688	11.699	18.624			
12	1	0	19.512	12.019	17.705			
13	5	0	22.005	20.551	13.519			
14	2	0	19.978	21.659	14.056			
15	1	0	20.125	22.008	14.969			
16	5	0	6.031	18.623	4.825			
17	2	0	5.107	20.627	3.957			
18	1	0	4.887	20.408	3.018			
19	5	0	0.85	13.562	21.616			
20	2	0	-0.008	14.233	19.51			
21	1	0	0.239	13.496	18.899			
22	5	0	4.577	10.248	10.357			
23	2	0	6.534	11.58	10.22			
24	1	0	6.896	11.389	9.32			
25	5	0	17.513	11.89	3.619			
26	2	0	16.985	9.637	3.104			
27	1	0	17.355	9.5	2.197			
28	5	0	11.461	9.213	16.726			
29	2	0	10.087	10.122	15.02			
30	1	0	9.811	11.004	15.374			
31	5	0	13.796	7.41	1.186			
32	2	0	11.875	8.013	2.438			
33	1	0	11.708	7.231	3.021			
34	5	0	21.989	8.349	11.732			
35	2	0	20.438	6.658	12.332			
36	1	0	20.069	6.962	13.197			
37	5	0	10.055	14.301	1.494			
38	2	0	10.767	16.506	1.999			
39	1	0	10.997	16.475	2.96			
40	5	0	4.907	22.002	6.062			
41	2	0	2.939	21.896	7.382			
42	1	0	2.486	21.071	7.079			
43	5	0	3.425	13.334	4.144			
44	2	0	2.427	14.314	2.229			
45	1	0	1.585	13.81	2.107			
46	5	0	12.88	19.204	19.042			
47	2	0	15.133	19.085	18.313			
48	1	0	15.664	19.193	19.141			
49	5	0	15.847	21.907	2.606			
50	2	0	17.222	20.028	3.055			
51	1	0	16.711	19.261	2.697			
52	5	0	7.229	3.378	4.793			
53	2	0	8.222	2.247	6.625			
54	1	0	8.352	2.952	7.307			
55	5	0	2.741	17.738	5.554			
56	2	0	4.954	17.148	6.172			
57	1	0	5.293	16.632	5.4			
58	5	0	6.379	8.275	16.151			
59	2	0	4.268	9.285	15.773			
